"Date/Time","Year","Month","Day","Data Quality","MaxTemp","Max Temp Flag","MinTemp","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2019-01-01","2019","01","01","","2.4","","-12.3","","-5.0","","23.0","","0.0","","16.8","","0.2","","17.0","","0","T","29","","52",""
"2019-01-02","2019","01","02","","-9.4","","-15.6","","-12.5","","30.5","","0.0","","0.0","","0.4","","0.4","","0","T","","M","","M"
"2019-01-03","2019","01","03","","-1.5","","-14.1","","-7.8","","25.8","","0.0","","0.0","","4.6","","4.6","","4","","2","","32",""
"2019-01-04","2019","01","04","","2.5","","-1.7","","0.4","","17.6","","0.0","","0.0","","3.0","","3.0","","6","","23","","48",""
"2019-01-05","2019","01","05","","2.3","","0.0","","1.2","","16.8","","0.0","","0.0","T","0.0","","0.0","T","1","E","","M","","M"
"2019-01-06","2019","01","06","","1.3","","-13.0","","-5.9","","23.9","","0.0","","0.0","","0.4","","0.4","","1","","30","","46",""
"2019-01-07","2019","01","07","","-8.4","","-16.5","","-12.5","","30.5","","0.0","","0.0","","4.6","","4.6","","1","","7","","39",""
"2019-01-08","2019","01","08","","0.9","","-8.7","","-3.9","","21.9","","0.0","","0.0","","5.8","","6.8","","5","","15","","59",""
"2019-01-09","2019","01","09","","1.3","","-3.0","","-0.9","","18.9","","0.0","","0.0","","0.2","","0.2","","4","","2","","39",""
"2019-01-10","2019","01","10","","-2.7","","-13.0","","-7.9","","25.9","","0.0","","0.0","","1.2","","1.2","","5","","27","","54",""
"2019-01-11","2019","01","11","","-12.9","","-18.8","","-15.9","","33.9","","0.0","","0.0","","0.0","T","0.0","T","4","","25","","50",""
"2019-01-12","2019","01","12","","-13.6","","-19.1","","-16.4","","34.4","","0.0","","0.0","","0.0","","0.0","","4","","26","","37",""
"2019-01-13","2019","01","13","","-10.8","","-19.9","","-15.4","","33.4","","0.0","","0.0","","0.0","T","0.0","T","4","","","M","","M"
"2019-01-14","2019","01","14","","-8.0","","-18.7","","-13.4","","31.4","","0.0","","0.0","","0.0","T","0.0","T","4","","","M","","M"
"2019-01-15","2019","01","15","","-1.3","","-8.0","","-4.7","","22.7","","0.0","","0.0","","0.6","","0.6","","4","","","M","","M"
"2019-01-16","2019","01","16","","1.4","","-17.7","","-8.2","","26.2","","0.0","","0.0","","0.6","","0.6","","4","","24","","67",""
"2019-01-17","2019","01","17","","-13.5","","-20.9","","-17.2","","35.2","","0.0","","0.0","","0.0","","0.0","","4","","","","","M"
"2019-01-18","2019","01","18","","-9.3","","-15.9","","-12.6","","30.6","","0.0","","0.0","","2.6","","1.6","","3","","","","","M"
"2019-01-19","2019","01","19","","-15.1","","-23.0","","-19.1","","37.1","","0.0","","0.0","","2.8","","2.8","","5","","4","","50",""
"2019-01-20","2019","01","20","","-15.8","","-21.3","","-18.6","","36.6","","0.0","","0.0","","15.8","","15.8","","7","","3","","63",""
"2019-01-21","2019","01","21","","-16.4","","-21.5","","-19.0","","37.0","","0.0","","0.0","","1.8","","1.8","","10","","28","","54",""
"2019-01-22","2019","01","22","","-9.8","","-23.1","","-16.5","","34.5","","0.0","","0.0","","0.0","","0.0","","15","","27","","41",""
"2019-01-23","2019","01","23","","0.9","","-13.3","","-6.2","","24.2","","0.0","","7.0","","15.4","","22.4","","17","","","M","","M"
"2019-01-24","2019","01","24","","2.9","","-6.8","","-2.0","","20.0","","0.0","","17.6","","0.0","T","17.6","","18","","29","","55",""
"2019-01-25","2019","01","25","","-1.7","","-11.5","","-6.6","","24.6","","0.0","","0.0","","0.2","","0.2","","10","","26","","59",""
"2019-01-26","2019","01","26","","-11.3","","-13.7","","-12.5","","30.5","","0.0","","0.0","","0.6","","0.6","","10","","","M","","M"
"2019-01-27","2019","01","27","","-0.7","","-13.3","","-7.0","","25.0","","0.0","","0.0","","0.0","T","0.0","T","10","","24","","76",""
"2019-01-28","2019","01","28","","-12.5","","-20.2","","-16.4","","34.4","","0.0","","0.0","","0.0","","0.0","","10","","4","","45",""
"2019-01-29","2019","01","29","","-9.3","","-17.9","","-13.6","","31.6","","0.0","","0.0","","9.6","","8.8","","10","","4","","50",""
"2019-01-30","2019","01","30","","-7.5","","-17.2","","-12.4","","30.4","","0.0","","0.0","","0.0","T","0.0","T","18","","23","","78",""
"2019-01-31","2019","01","31","","-13.9","","-17.8","","-15.9","","33.9","","0.0","","0.0","","0.0","T","0.0","T","18","","27","","67",""
"2019-02-01","2019","02","01","","-12.1","","-17.7","","-14.9","","32.9","","0.0","","0.0","","0.0","T","0.0","T","16","","24","","48",""
"2019-02-02","2019","02","02","","-6.4","","-16.8","","-11.6","","29.6","","0.0","","0.0","","4.0","","3.4","","16","","22","","39",""
"2019-02-03","2019","02","03","","-10.5","","-14.9","","-12.7","","30.7","","0.0","","0.6","","2.2","","3.6","","14","","4","","37",""
"2019-02-04","2019","02","04","","-2.9","","-10.6","","-6.8","","24.8","","0.0","","0.8","","0.8","","2.2","","16","","","M","","M"
"2019-02-05","2019","02","05","","6.4","","-9.8","","-1.7","","19.7","","0.0","","5.2","","0.0","","5.2","","16","","27","","71",""
"2019-02-06","2019","02","06","","-5.6","","-11.2","","-8.4","","26.4","","0.0","","2.8","","3.4","","6.2","","14","","4","","45",""
"2019-02-07","2019","02","07","","2.1","","-6.7","","-2.3","","20.3","","0.0","","0.4","","0.0","","0.4","","14","","7","","39",""
"2019-02-08","2019","02","08","","6.4","","-9.0","","-1.3","","19.3","","0.0","","0.4","","0.6","","1.0","","8","","26","","96",""
"2019-02-09","2019","02","09","","-7.0","","-11.8","","-9.4","","27.4","","0.0","","0.0","","0.0","","0.0","","6","","26","","80",""
"2019-02-10","2019","02","10","","-6.5","","-13.7","","-10.1","","28.1","","0.0","","0.0","","0.0","","0.0","","6","","26","","45",""
"2019-02-11","2019","02","11","","-8.9","","-14.9","","-11.9","","29.9","","0.0","","0.0","","0.0","","0.0","","5","","4","","33",""
"2019-02-12","2019","02","12","","-6.1","","-16.8","","-11.5","","29.5","","0.0","","0.0","","19.4","","19.4","","5","","4","","46",""
"2019-02-13","2019","02","13","","0.4","","-7.5","","-3.6","","21.6","","0.0","","0.0","","20.6","","20.6","","29","","23","","55",""
"2019-02-14","2019","02","14","","-4.6","","-10.7","","-7.7","","25.7","","0.0","","0.0","","0.0","T","0.0","T","30","","23","","54",""
"2019-02-15","2019","02","15","","4.2","","-6.8","","-1.3","","19.3","","0.0","","1.8","","0.8","","2.8","","30","","23","","65",""
"2019-02-16","2019","02","16","","-2.0","","-11.7","","-6.9","","24.9","","0.0","","0.0","","0.0","T","0.0","T","26","","23","","50",""
"2019-02-17","2019","02","17","","-8.9","","-18.1","","-13.5","","31.5","","0.0","","0.0","","0.0","","0.0","","25","","","M","","M"
"2019-02-18","2019","02","18","","-7.9","","-14.9","","-11.4","","29.4","","0.0","","0.0","","0.0","","0.0","","","","3","","48",""
"2019-02-19","2019","02","19","","-9.6","","-19.1","","-14.4","","32.4","","0.0","","0.0","","0.0","","0.0","","25","","23","","42",""
"2019-02-20","2019","02","20","","-4.9","","-19.0","","-12.0","","30.0","","0.0","","0.0","","2.2","","2.2","","25","","","","","M"
"2019-02-21","2019","02","21","","3.0","","-7.8","","-2.4","","20.4","","0.0","","0.0","","10.8","","10.8","","29","","26","","58",""
"2019-02-22","2019","02","22","","-0.8","","-10.5","","-5.7","","23.7","","0.0","","0.0","","0.0","","0.0","","27","","25","","37",""
"2019-02-23","2019","02","23","","0.3","","-13.7","","-6.7","","24.7","","0.0","","0.0","","0.0","","0.0","","26","","","M","","M"
"2019-02-24","2019","02","24","","3.8","","-2.8","","0.5","","17.5","","0.0","","12.4","","0.8","","13.8","","24","","22","","76",""
"2019-02-25","2019","02","25","","1.7","","-12.2","","-5.3","","23.3","","0.0","","0.0","","0.0","T","0.0","T","23","","27","","85",""
"2019-02-26","2019","02","26","","-12.2","","-17.9","","-15.1","","33.1","","0.0","","0.0","","0.0","","0.0","","23","","27","","58",""
"2019-02-27","2019","02","27","","-13.3","","-20.8","","-17.1","","35.1","","0.0","","0.0","","0.0","","0.0","","23","","","M","","M"
"2019-02-28","2019","02","28","","-8.1","","-20.0","","-14.1","","32.1","","0.0","","0.0","","0.0","","0.0","","23","","21","","32",""
"2019-03-01","2019","03","01","","-3.8","","-16.5","","-10.2","","28.2","","0.0","","0.0","","0.0","","0.0","","22","","","M","","M"
"2019-03-02","2019","03","02","","-2.2","","-11.7","","-7.0","","25.0","","0.0","","0.0","","0.0","T","0.0","T","21","","","","","M"
"2019-03-03","2019","03","03","","-1.1","","-8.0","","-4.6","","22.6","","0.0","","0.0","","0.6","","0.6","","21","","22","","33",""
"2019-03-04","2019","03","04","","-2.4","","-10.6","","-6.5","","24.5","","0.0","","0.0","","0.0","T","0.0","T","21","","25","","55",""
"2019-03-05","2019","03","05","","-7.7","","-15.2","","-11.5","","29.5","","0.0","","0.0","","0.4","","0.4","","21","","22","","45",""
"2019-03-06","2019","03","06","","-8.3","","-15.7","","-12.0","","30.0","","0.0","","0.0","","0.0","T","0.0","T","21","","26","","46",""
"2019-03-07","2019","03","07","","-8.0","","-18.9","","-13.5","","31.5","","0.0","","0.0","","0.0","","0.0","","21","","22","","46",""
"2019-03-08","2019","03","08","","-1.8","","-12.7","","-7.3","","25.3","","0.0","","0.0","","0.0","","0.0","","21","","21","","52",""
"2019-03-09","2019","03","09","","-1.3","","-11.2","","-6.3","","24.3","","0.0","","0.0","","0.0","","0.0","","20","","","M","","M"
"2019-03-10","2019","03","10","","3.1","","-8.5","","-2.7","","20.7","","0.0","","3.0","","16.0","","23.0","","19","","15","","55",""
"2019-03-11","2019","03","11","","3.3","","-2.4","","0.5","","17.5","","0.0","","0.0","","0.0","T","0.4","","24","","24","","71",""
"2019-03-12","2019","03","12","","-1.4","","-5.8","","-3.6","","21.6","","0.0","","0.0","","0.0","T","0.0","T","24","","25","","48",""
"2019-03-13","2019","03","13","","2.5","","-7.3","","-2.4","","20.4","","0.0","","0.0","","1.0","","1.4","","24","","","M","","M"
"2019-03-14","2019","03","14","","7.5","","-2.3","","2.6","","15.4","","0.0","","","M","","M","0.0","T","23","","","","","M"
"2019-03-15","2019","03","15","","9.9","","3.1","","6.5","","11.5","","0.0","","1.6","","0.0","","1.6","","15","","23","","71",""
"2019-03-16","2019","03","16","","3.2","","-4.7","","-0.8","","18.8","","0.0","","0.0","","0.0","T","0.0","T","2","","27","","67",""
"2019-03-17","2019","03","17","","-2.3","","-7.5","","-4.9","","22.9","","0.0","","0.0","","0.0","T","0.0","T","2","","28","","59",""
"2019-03-18","2019","03","18","","-1.1","","-8.6","","-4.9","","22.9","","0.0","","0.0","","0.0","","0.0","","2","","29","","46",""
"2019-03-19","2019","03","19","","0.6","","-11.0","","-5.2","","23.2","","0.0","","0.0","","0.0","","0.0","","","","23","","39",""
"2019-03-20","2019","03","20","","7.2","","-6.3","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","1","","","M","","M"
"2019-03-21","2019","03","21","","7.2","","1.5","","4.4","","13.6","","0.0","","8.8","","0.0","","8.8","","0","T","17","","41",""
"2019-03-22","2019","03","22","","3.2","","1.1","","2.2","","15.8","","0.0","","17.0","","0.0","T","17.0","","0","T","32","","52",""
"2019-03-23","2019","03","23","","1.2","","-5.0","","-1.9","","19.9","","0.0","","0.0","","1.6","","1.6","","1","","27","","61",""
"2019-03-24","2019","03","24","","4.1","","-4.2","","-0.1","","18.1","","0.0","","0.0","","0.0","T","0.0","T","0","T","25","","48",""
"2019-03-25","2019","03","25","","-0.1","","-7.0","","-3.6","","21.6","","0.0","","0.0","","0.0","","0.0","","0","T","22","","58",""
"2019-03-26","2019","03","26","","0.1","","-7.3","","-3.6","","21.6","","0.0","","0.0","","0.0","","0.0","","0","T","23","","50",""
"2019-03-27","2019","03","27","","6.2","","-5.9","","0.2","","17.8","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"2019-03-28","2019","03","28","","8.3","","0.7","","4.5","","13.5","","0.0","","1.0","","0.0","","1.0","","0","T","15","","39",""
"2019-03-29","2019","03","29","","7.5","","-3.1","","2.2","","15.8","","0.0","","1.6","","0.0","","1.6","","0","T","28","","41",""
"2019-03-30","2019","03","30","","1.7","","-2.5","","-0.4","","18.4","","0.0","","7.2","","0.2","","7.4","","0","T","5","","39",""
"2019-03-31","2019","03","31","","2.2","","-1.7","","0.3","","17.7","","0.0","","5.2","","0.6","","5.8","","0","T","26","","48",""
"2019-04-01","2019","04","01","","1.9","","-6.4","","-2.3","","20.3","","0.0","","0.0","","0.0","","0.0","","0","T","25","","55",""
"2019-04-02","2019","04","02","","9.3","","-1.6","","3.9","","14.1","","0.0","","0.0","","0.0","","0.0","","0","T","21","","35",""
"2019-04-03","2019","04","03","","10.2","","-1.5","","4.4","","13.6","","0.0","","0.0","","0.2","","0.2","","0","T","26","","76",""
"2019-04-04","2019","04","04","","2.2","","-4.4","","-1.1","","19.1","","0.0","","0.0","","0.0","T","0.0","T","","","27","","68",""
"2019-04-05","2019","04","05","","4.5","","-7.4","","-1.5","","19.5","","0.0","","0.6","","3.0","","3.6","","0","T","16","","33",""
"2019-04-06","2019","04","06","","7.9","","1.0","","4.5","","13.5","","0.0","","1.4","","0.0","T","1.4","","0","T","28","","37",""
"2019-04-07","2019","04","07","","11.2","","1.4","","6.3","","11.7","","0.0","","0.6","","0.0","","0.6","","0","T","4","","46",""
"2019-04-08","2019","04","08","","1.4","","-3.0","","-0.8","","18.8","","0.0","","14.2","","0.4","","14.6","","0","T","4","","61",""
"2019-04-09","2019","04","09","","-0.2","","-3.0","","-1.6","","19.6","","0.0","","0.6","","10.4","","11.0","","0","T","2","","48",""
"2019-04-10","2019","04","10","","4.4","","-3.6","","0.4","","17.6","","0.0","","0.0","","0.0","","0.0","","8","","26","","42",""
"2019-04-11","2019","04","11","","5.9","","-3.5","","1.2","","16.8","","0.0","","0.0","","0.0","","0.0","","1","","30","","32",""
"2019-04-12","2019","04","12","","13.9","","2.1","","8.0","","10.0","","0.0","","0.4","","0.0","","0.4","","0","T","14","","46",""
"2019-04-13","2019","04","13","","17.1","","3.8","","10.5","","7.5","","0.0","","0.0","","0.0","","0.0","","","","23","","72",""
"2019-04-14","2019","04","14","","8.8","","0.8","","4.8","","13.2","","0.0","","6.0","","0.0","","6.0","","","","4","","55",""
"2019-04-15","2019","04","15","","5.7","","2.3","","4.0","","14.0","","0.0","","2.2","","0.0","","2.2","","","","4","","59",""
"2019-04-16","2019","04","16","","10.0","","1.1","","5.6","","12.4","","0.0","","0.0","","0.0","","0.0","","","","31","","52",""
"2019-04-17","2019","04","17","","13.9","","-2.2","","5.9","","12.1","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"2019-04-18","2019","04","18","","16.0","","6.0","","11.0","","7.0","","0.0","","1.4","","0.0","","1.4","","","","15","","61",""
"2019-04-19","2019","04","19","","12.9","","4.6","","8.8","","9.2","","0.0","","31.0","","0.0","","31.0","","","","3","","58",""
"2019-04-20","2019","04","20","","7.1","","4.3","","5.7","","12.3","","0.0","","12.4","","0.0","","12.4","","","","4","","63",""
"2019-04-21","2019","04","21","","16.2","","3.4","","9.8","","8.2","","0.0","","0.0","","0.0","","0.0","","","","22","","37",""
"2019-04-22","2019","04","22","","18.7","","5.5","","12.1","","5.9","","0.0","","0.0","","0.0","","0.0","","","","3","","42",""
"2019-04-23","2019","04","23","","17.1","","6.2","","11.7","","6.3","","0.0","","3.2","","0.0","","3.2","","","","6","","48",""
"2019-04-24","2019","04","24","","8.3","","5.2","","6.8","","11.2","","0.0","","7.2","","0.0","","7.2","","","","23","","54",""
"2019-04-25","2019","04","25","","11.1","","4.3","","7.7","","10.3","","0.0","","0.0","T","0.0","","0.0","T","","","","M","","M"
"2019-04-26","2019","04","26","","10.9","","4.8","","7.9","","10.1","","0.0","","22.6","","0.0","","22.6","","","","11","","52",""
"2019-04-27","2019","04","27","","7.8","","2.9","","5.4","","12.6","","0.0","","9.8","","0.0","","9.8","","","","27","","63",""
"2019-04-28","2019","04","28","","10.3","","1.8","","6.1","","11.9","","0.0","","0.0","","0.0","","0.0","","","","28","","37",""
"2019-04-29","2019","04","29","","9.5","","-0.7","","4.4","","13.6","","0.0","","0.0","","0.0","","0.0","","","","20","","32",""
"2019-04-30","2019","04","30","","14.2","","5.2","","9.7","","8.3","","0.0","","0.0","","0.0","","0.0","","","","32","","37",""
"2019-05-01","2019","05","01","","8.4","","2.0","","5.2","","12.8","","0.0","","6.8","","0.0","","6.8","","","","4","","55",""
"2019-05-02","2019","05","02","","9.5","","2.4","","6.0","","12.0","","0.0","","0.6","","0.0","","0.6","","","","4","","46",""
"2019-05-03","2019","05","03","","10.4","","7.5","","9.0","","9.0","","0.0","","3.6","","0.0","","3.6","","","","","M","","M"
"2019-05-04","2019","05","04","","16.5","","8.0","","12.3","","5.7","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"2019-05-05","2019","05","05","","20.3","","4.5","","12.4","","5.6","","0.0","","0.0","","0.0","","0.0","","","","9","","33",""
"2019-05-06","2019","05","06","","24.0","","9.5","","16.8","","1.2","","0.0","","0.0","T","0.0","","0.0","T","","","26","","37",""
"2019-05-07","2019","05","07","","18.6","","4.6","","11.6","","6.4","","0.0","","0.6","","0.0","","0.6","","","","1","","42",""
"2019-05-08","2019","05","08","","14.6","","1.9","","8.3","","9.7","","0.0","","0.0","","0.0","","0.0","","","","22","","39",""
"2019-05-09","2019","05","09","","16.5","","3.2","","9.9","","8.1","","0.0","","14.2","","0.0","","14.2","","","","13","","50",""
"2019-05-10","2019","05","10","","17.7","","8.4","","13.1","","4.9","","0.0","","26.0","","0.0","","26.0","","","","24","","61",""
"2019-05-11","2019","05","11","","13.9","","5.0","","9.5","","8.5","","0.0","","0.0","T","0.0","","0.0","T","","","30","","41",""
"2019-05-12","2019","05","12","","17.1","","5.9","","11.5","","6.5","","0.0","","0.0","","0.0","","0.0","","","","4","","41",""
"2019-05-13","2019","05","13","","15.9","","6.6","","11.3","","6.7","","0.0","","3.4","","0.0","","3.4","","","","5","","39",""
"2019-05-14","2019","05","14","","8.7","","5.4","","7.1","","10.9","","0.0","","2.6","","0.0","","2.6","","","","8","","42",""
"2019-05-15","2019","05","15","","15.2","","6.0","","10.6","","7.4","","0.0","","0.2","","0.0","","0.2","","","","20","","35",""
"2019-05-16","2019","05","16","","16.6","","7.3","","12.0","","6.0","","0.0","","0.0","T","0.0","","0.0","T","","","","M","","M"
"2019-05-17","2019","05","17","","14.6","","9.2","","11.9","","6.1","","0.0","","0.8","","0.0","","0.8","","","","28","","41",""
"2019-05-18","2019","05","18","","15.9","","7.0","","11.5","","6.5","","0.0","","0.0","T","0.0","","0.0","T","","","22","","32",""
"2019-05-19","2019","05","19","","18.8","","10.1","","14.5","","3.5","","0.0","","12.2","","0.0","","12.2","","","","5","","37",""
"2019-05-20","2019","05","20","","23.0","","9.7","","16.4","","1.6","","0.0","","0.0","T","0.0","","0.0","T","","","23","","71",""
"2019-05-21","2019","05","21","","16.8","","7.3","","12.1","","5.9","","0.0","","0.6","","0.0","","0.6","","","","32","","63",""
"2019-05-22","2019","05","22","","19.1","","6.1","","12.6","","5.4","","0.0","","0.2","","0.0","","0.2","","","","","M","","M"
"2019-05-23","2019","05","23","","20.8","","12.3","","16.6","","1.4","","0.0","","17.2","","0.0","","17.2","","","","35","","54",""
"2019-05-24","2019","05","24","","17.4","","10.2","","13.8","","4.2","","0.0","","2.0","","0.0","","2.0","","","","2","","41",""
"2019-05-25","2019","05","25","","21.2","","9.6","","15.4","","2.6","","0.0","","1.0","","0.0","","1.0","","","","15","","35",""
"2019-05-26","2019","05","26","","24.4","","12.2","","18.3","","0.0","","0.3","","1.0","","0.0","","1.0","","","","24","","50",""
"2019-05-27","2019","05","27","","16.9","","8.7","","12.8","","5.2","","0.0","","0.0","T","0.0","","0.0","T","","","23","","41",""
"2019-05-28","2019","05","28","","12.6","","7.5","","10.1","","7.9","","0.0","","2.0","","0.0","","2.0","","","","","M","","M"
"2019-05-29","2019","05","29","","16.3","","7.3","","11.8","","6.2","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"2019-05-30","2019","05","30","","22.3","","10.9","","16.6","","1.4","","0.0","","2.2","","0.0","","2.2","","","","22","","46",""
"2019-05-31","2019","05","31","","15.8","","7.5","","11.7","","6.3","","0.0","","0.0","","0.0","","0.0","","","","28","","33",""
"2019-06-01","2019","06","01","","18.6","","9.8","","14.2","","3.8","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"2019-06-02","2019","06","02","","18.1","","11.5","","14.8","","3.2","","0.0","","8.0","","0.0","","8.0","","","","25","","37",""
"2019-06-03","2019","06","03","","12.6","","7.0","","9.8","","8.2","","0.0","","0.0","T","0.0","","0.0","T","","","22","","65",""
"2019-06-04","2019","06","04","","18.1","","5.7","","11.9","","6.1","","0.0","","0.2","","0.0","","0.2","","","","22","","67",""
